id,target_date,mood_target,mood_mean,mood_std,mood_slope,mood_lag1,circumplex.valence_mean,circumplex.valence_lag1,circumplex.arousal_mean,circumplex.arousal_lag1,activity_mean,activity_std,screen_sum,screen_lag1,appCat.builtin_sum,appCat.builtin_lag1,appCat.communication_sum,appCat.communication_lag1,appCat.social_sum,appCat.social_lag1,appCat.entertainment_sum,appCat.entertainment_lag1,appCat.office_sum,appCat.other_sum,appCat.travel_sum,appCat.utilities_sum,appCat.game_sum,appCat.finance_sum,appCat.weather_sum,appCat.unknown_sum,call_sum,sms_sum,dow_sin,dow_cos,is_weekend,mood_class_target
AS14.27,2014-05-14,7.5,6.92,0.5403702434442518,0.20000000000000095,6.8,0.32,0.4,0.8,0.8,0.08942746137479785,0.014653535583746772,26928.7509996891,4063.5680000782004,5770.796,1072.947,12738.621000000001,2083.405,4524.098,844.808,0.0,0.0,0.0,249.521,28.979,0.0,269.78700000000003,0.0,421.28267999999946,0.0,16.0,7.0,0.9749279121818236,-0.22252093395631434,0,high
AS14.27,2014-05-15,7.0,7.140000000000001,0.49799598391954936,0.1600000000000005,7.5,0.51,0.75,0.76,1.0,0.08723301693035342,0.013587189369448029,23768.9190018177,2112.7540001869193,4587.217000000001,366.488,11587.159,1257.21,3833.225,464.58399999999995,0.0,0.0,0.0,222.959,28.979,0.0,186.24200000000002,0.0,398.13867999999945,0.0,11.0,3.0,0.43388373911755823,-0.900968867902419,0,medium
AS14.28,2014-04-03,8.0,6.933333333333334,0.5131601439446885,0.15000000000000038,6.8,0.13333333333333333,0.4,-0.06666666666666667,-0.2,0.06465894123002558,0.05449139645342639,22357.550999641422,11887.370000839235,6890.884,2318.685,5845.196,2724.062,6427.909,3621.688,1076.515,884.173,0.0,255.868,510.3589999999999,586.9250000000001,520.286,506.649,45.055,0.0,4.0,0.0,0.43388373911755823,-0.900968867902419,0,high
AS14.28,2014-04-04,5.75,7.2,0.6782329983125268,0.38,8.0,0.4125,1.25,-0.05,0.0,0.08627246876408465,0.06203321541581664,31522.952001094825,9165.401001453405,13565.004,6674.12,8721.397,2876.201,8768.696,2340.787,2080.1620000000003,1003.6469999999999,0.0,339.284,663.824,586.9250000000001,520.286,544.471,132.74,0.0,4.0,0.0,-0.433883739117558,-0.9009688679024191,0,low
AS14.28,2014-04-05,7.6,6.909999999999999,0.8749285685128815,-0.09999999999999916,5.75,0.32999999999999996,0.0,-0.13999999999999999,-0.5,0.0939991641626377,0.05643225115152627,45283.318002462394,13760.366001367567,17039.376,3474.372,14397.068000000001,5675.671,11509.507,2740.811,2575.8300000000004,495.668,0.0,445.628,900.117,750.849,714.47,578.595,190.27,11.044,7.0,0.0,-0.9749279121818236,-0.2225209339563146,1,high
AS14.28,2014-04-06,7.2,7.13,0.8843076387773657,-0.08499999999999985,7.6,0.49000000000000005,0.8,-0.3,-0.8,0.09474088898443385,0.055297647009420414,51343.33800101281,7930.456998109817,18295.747,2074.759,15777.385,1473.532,12962.945,2144.604,2809.215,414.386,0.0,494.049,900.117,1289.812,1019.3,419.09800000000007,195.32000000000002,19.399,7.0,0.0,-0.7818314824680299,0.6234898018587334,1,medium
AS14.28,2014-04-07,8.0,7.07,0.8628441342444185,0.04000000000000035,7.2,0.6100000000000001,0.6,-0.42000000000000004,-0.6,0.07186950034059204,0.062057279550544,48685.55700135232,5941.962999582291,15428.434,886.498,13780.607,1031.141,13643.382,2795.492,3132.022,334.148,0.0,434.161,549.892,1289.812,562.571,346.44500000000005,195.32000000000002,40.487,5.0,0.0,0.0,1.0,0,high
AS14.28,2014-04-08,7.8,7.31,0.9330058949438637,0.14500000000000077,8.0,0.78,1.25,-0.33999999999999997,0.2,0.0855597607146149,0.06170515650641883,48262.61700177193,11464.430001258852,24280.949999999997,11171.201,13785.853,2729.308,13655.909,3634.215,3329.7960000000003,1081.9470000000001,0.0,394.226,694.894,709.064,669.615,95.584,250.406,40.487,3.0,0.0,0.7818314824680298,0.6234898018587336,0,high
AS14.28,2014-04-09,7.0,7.2700000000000005,0.8997221793420455,0.4500000000000002,7.8,0.73,1.0,-0.38,-0.2,0.075107234391276,0.05138880356544159,46463.60100340843,7366.385003089905,23350.068999999996,5743.239,14110.951000000001,3201.299,13291.134,1976.012,2326.1490000000003,0.0,0.0,368.2,662.3779999999999,709.064,744.044,57.762,216.776,59.59,3.0,0.0,0.9749279121818236,-0.22252093395631434,0,medium
AS14.28,2014-04-10,7.0,7.5200000000000005,0.41472882706655434,-0.060000000000000296,7.0,0.93,1.0,-0.48,-1.0,0.09889541935815291,0.09182456231679109,44954.96100068092,12251.725998640057,22532.028,2656.331,10583.024,2147.744,12217.892,1667.569,2061.2290000000003,230.748,0.0,476.029,426.0849999999999,551.241,553.881,117.012,159.24599999999998,48.54600000000001,0.0,1.0,0.43388373911755823,-0.900968867902419,0,medium
